Option,416_default_config,config_v8_bare_2
CONFIG_INFINIBAND_USER_MAD,m,
CONFIG_SMC_IRCC_FIR,m,
CONFIG_FB_3DFX,m,
CONFIG_HID,m,y
CONFIG_INFINIBAND_ON_DEMAND_PAGING,y,
CONFIG_LCD_TDO24M,m,
CONFIG_X86_MCE_AMD,y,
CONFIG_CPU_SUP_CENTAUR,y,
CONFIG_PANEL,m,
CONFIG_MCS_FIR,m,
CONFIG_HTU21,m,
CONFIG_JOYSTICK_SIDEWINDER,m,
CONFIG_MA600_DONGLE,m,
CONFIG_JOYSTICK_WALKERA0701,m,
CONFIG_INFINIBAND_IPOIB,m,
CONFIG_TOUCHSCREEN_PENMOUNT,m,
CONFIG_QED_RDMA,y,
CONFIG_TOUCHSCREEN_TI_AM335X_TSC,m,
CONFIG_SIGMATEL_FIR,m,
CONFIG_ZONE_DEVICE,y,
CONFIG_NVDIMM_DAX,y,
CONFIG_MS5611_I2C,m,
CONFIG_INFINIBAND_ADDR_TRANS_CONFIGFS,y,
CONFIG_CHROMEOS_LAPTOP,m,
CONFIG_TOUCHSCREEN_TSC2004,m,
CONFIG_THINKPAD_ACPI_ALSA_SUPPORT,y,
CONFIG_USB_MAX3421_HCD,m,y
CONFIG_DRM_AMDGPU_SI,y,
CONFIG_INFINIBAND_USER_ACCESS,m,
CONFIG_AFE4404,m,
CONFIG_RDMA_RXE,m,
CONFIG_TOUCHSCREEN_CYTTSP4_CORE,m,
CONFIG_FB_RADEON_I2C,y,
CONFIG_IRLAN,m,
CONFIG_NVME_RDMA,m,
CONFIG_JOYSTICK_INTERACT,m,
CONFIG_TOUCHSCREEN_USB_3M,y,
CONFIG_MPL115,m,
CONFIG_PTP_1588_CLOCK_DTE,,y
CONFIG_TOUCHSCREEN_TSC2007,m,
CONFIG_SECURITY_INFINIBAND,y,
CONFIG_GDB_SCRIPTS,y,
CONFIG_DELL_WMI,m,
CONFIG_BMP280,m,
CONFIG_TOUCHSCREEN_ATMEL_MXT,m,
CONFIG_IRDA,m,
CONFIG_ESI_DONGLE,m,
CONFIG_DRM_VM,y,
CONFIG_TOUCHSCREEN_MCS5000,m,
CONFIG_JOYSTICK_MAGELLAN,m,
CONFIG_DHT11,m,
CONFIG_ACER_WMI,m,
CONFIG_TOUCHSCREEN_WM97XX,m,
CONFIG_TOUCHSCREEN_AD7877,m,
CONFIG_TOUCHSCREEN_SILEAD,m,
CONFIG_DELL_LAPTOP,m,
CONFIG_EEEPC_LAPTOP,m,
CONFIG_THINKPAD_ACPI_HOTKEY_POLL,y,
CONFIG_HW_RANDOM_EXYNOS,,y
CONFIG_ZPA2326_I2C,m,
CONFIG_JOYSTICK_IFORCE_USB,y,
CONFIG_LCD_LTV350QV,m,
CONFIG_TOUCHSCREEN_EETI,m,
CONFIG_TOUCHSCREEN_USB_GENERAL_TOUCH,y,
CONFIG_ROCKCHIP_GRF,,y
CONFIG_INFINIBAND_HFI1,m,
CONFIG_JOYSTICK_TMDC,m,
CONFIG_TOUCHSCREEN_DA9034,m,
CONFIG_TOUCHSCREEN_MMS114,m,
CONFIG_ARCH_MEMORY_PROBE,y,
CONFIG_DONGLE,y,
CONFIG_USB_ISP116X_HCD,m,y
CONFIG_FB_ASILIANT,y,
CONFIG_FB_ATY_BACKLIGHT,y,
CONFIG_LITELINK_DONGLE,m,
CONFIG_ASUS_LAPTOP,m,
CONFIG_FB_ATY_GX,y,
CONFIG_ACERHDF,m,
CONFIG_FB_SVGALIB,m,
CONFIG_I8K,m,
CONFIG_TOUCHSCREEN_AUO_PIXCIR,m,
CONFIG_JOYSTICK_STINGER,m,
CONFIG_DELL_RBU,m,
CONFIG_MIGRATE_VMA_HELPER,y,
CONFIG_TOUCHSCREEN_USB_ELO,y,
CONFIG_SURFACE3_WMI,m,
CONFIG_CROS_EC_LPC,m,
CONFIG_GENERIC_CPU,y,
CONFIG_HP206C,m,
CONFIG_TOUCHSCREEN_ILI210X,m,
CONFIG_JOYSTICK_ADI,m,
CONFIG_CHROMEOS_PSTORE,m,
CONFIG_KS0108_DELAY,2,
CONFIG_CRYPTO_DEV_SP_CCP,y,
CONFIG_FB_CYBER2000,m,
CONFIG_DRM_RADEON,m,
CONFIG_I2C_BRCMSTB,,y
CONFIG_FB_VT8623,m,
CONFIG_FB_BROADSHEET,m,
CONFIG_FB_VOODOO1,m,
CONFIG_USB_OTG_FSM,,m
CONFIG_IIO_CROS_EC_LIGHT_PROX,m,
CONFIG_NOUVEAU_DEBUG_DEFAULT,3,
CONFIG_EEEPC_WMI,m,
CONFIG_AMD_NB,y,
CONFIG_IMG_ASCII_LCD,m,
CONFIG_X86_ACPI_CPUFREQ_CPB,y,
CONFIG_TOUCHSCREEN_WM9712,y,
CONFIG_IRDA_CACHE_LAST_LSAP,y,
CONFIG_ASUS_WMI,m,
CONFIG_EDAC_DECODE_MCE,m,
CONFIG_PANEL_PROFILE,5,
CONFIG_TOUCHSCREEN_HIDEEP,m,
CONFIG_HMM,y,
CONFIG_TOUCHSCREEN_USB_ETURBO,y,
CONFIG_CROS_KBD_LED_BACKLIGHT,m,
CONFIG_HAVE_BOOTMEM_INFO_NODE,y,
CONFIG_XPOWER_PMIC_OPREGION,,y
CONFIG_JOYSTICK_TWIDJOY,m,
CONFIG_TOUCHSCREEN_CYTTSP4_SPI,m,
CONFIG_FB_NVIDIA_BACKLIGHT,y,
CONFIG_FB_MATROX_MAVEN,m,
CONFIG_DELL_RBTN,m,
CONFIG_MLX4_INFINIBAND,m,
CONFIG_TOIM3232_DONGLE,m,
CONFIG_IAQCORE,m,
CONFIG_MEMSTICK_R592,m,
CONFIG_MACINTOSH_DRIVERS,y,
CONFIG_FB_PM3,m,
CONFIG_SIRFSOC_WATCHDOG,,y
CONFIG_SURFACE_3_BUTTON,m,
CONFIG_PWM_CROS_EC,m,
CONFIG_TOUCHSCREEN_AD7879_SPI,m,
CONFIG_HP_ACCEL,m,
CONFIG_IIO_ST_PRESS,m,
CONFIG_CCS811,m,
CONFIG_INFINIBAND_I40IW,m,
CONFIG_INFINIBAND_RDMAVT,m,
CONFIG_MAX30100,m,
CONFIG_TOUCHSCREEN_TOUCHWIN,m,
CONFIG_DRM_MGAG200,m,
CONFIG_TOUCHSCREEN_TSC2005,m,
CONFIG_TOUCHSCREEN_USB_EASYTOUCH,y,
CONFIG_THINKPAD_ACPI_VIDEO,y,
CONFIG_FB_SIS_315,y,
CONFIG_TOUCHSCREEN_HAMPSHIRE,m,
CONFIG_VIA_FIR,m,
CONFIG_ZPA2326,m,
CONFIG_FB_SMSCUFX,m,
CONFIG_FB_SAVAGE_I2C,y,
CONFIG_TOUCHSCREEN_EGALAX_SERIAL,m,
